Name,Type,Rarity,Price,Type2,Description,Found1,Found2
Brazier of commanding fire elementals,Wondrous item,Rare,5000 gp,,"Banal-looking brass brazier, apart for little ""fire"" runes carved around it. Two-foot wide and two-foot high. While a fire burns in this brass brazier, you can use an action to speak the brazier's command word and summon a fire elemental, as if you had cast the conjure elemental spell. The brazier can't be used this way again until the next dawn. The brazier weighs 10 pounds.",,
Foldable Boat,Wondrous item,Rare,5000 gp,,"This object appears as a wooden box that measures 12 inches long, 6 inches wide, and 6 inches deep. It weighs 4 pounds and floats. It can be opened to store items inside. This item also has three command words, each requiring you to use an action to speak it. One command word causes the box to unfold into a boat 10 feet long, 4 feet wide, and 2 feet deep. The boat has one pair of oars, an anchor, a mast, and a lateen sail. The boat can hold up to four Medium creatures comfortably. The second command word causes the box to unfold into a ship 24 feet long, 8 feet wide, and 6 feet deep. The ship has a deck, rowing seats, five sets of oars, a steering oar, an anchor, a deck cabin, and a mast with a square sail. The ship can hold fifteen Medium creatures comfortably. When the box becomes a vessel, its weight becomes that of a normal vessel its size, and anything that was stored in the box remains in the boat. The third command word causes the folding boat to fold back into a box, provided that no creatures are aboard. Any objects in the vessel that can't fit inside the box remain outside the box as it folds. Any objects in the vessel that can fit inside the box do so.",,
Bowl of Commanding Water Elementals,Wondrous item,Rare,5000 gp,,"One-foot diameter brass bowl with exquisite carving of waves running on its inside and outside. It is weigthed by an increasingly thicker bottom for stability. It weigths 10 pounds and can contain 3 gallons. While this bowl is filled with water, you can use an action to speak the bowl's command word and summon a water elemental, as if you had cast the conjure elemental spell. The bowl can't be used this way again until the next dawn.",,
Bag of beans,Wondrous item,Rare,5000 gp,,"Inside this heavy cloth bag are 3d4 dry beans. The bag weighs 1/2 pound plus 1/4 pound for each bean it contains. If you dump the bag's contents out on the ground, they explode in a 10-foot radius, extending from the beans. Each creature in the area, including you, must make a DC 15 Dexterity saving throw, taking 5d4 fire damage on a failed save, or half as much damage on a successful one. The fire ignites flammable objects in the area that aren't being worn or carried. If you remove a bean from the bag, plant it in dirt or sand, and then water it, the bean produces an effect 1 minute later from the ground where it was planted. The DM can choose an effect from the following table, determine it randomly, or create an effect. https://www.aidedd.org/dnd/om.php?vo=bag-of-beans  ",,
Boots of speed,Equipment (boots),Rare,5000 gp,Attunement,"Boots of efficient but elegant design. The lacing allow good adjustment to your feet and keep them light. The heels and the sole are reinforced while keeping the foot thin. They offer surprisingly good arch support. While you wear these boots, you can use a bonus action and click the boots' heels together. If you do, the boots double your walking speed, and any creature that makes an opportunity attack against you has disadvantage on the attack roll. If you click your heels together again, you end the effect. When the boots' property has been used for a total of 10 minutes, the magic ceases to function until you finish a long rest.",,
Cube of force,Wondrous item,Rare,5000 gp,Attunement,"This cube is about an inch across. Each face has a distinct marking on it that can be pressed. The cube starts with 36 charges, and it regains 1d20 expended charges daily at dawn. You can use an action to press one of the cube's faces, expending a number of charges based on the chosen face, as shown in the Cube of Force Faces table. Each face has a different effect. If the cube has insufficient charges remaining, nothing happens. Otherwise, a barrier of invisible force springs into existence, forming a cube 15 feet on a side. The barrier is centered on you, moves with you, and lasts for 1 minute, until you use an action to press the cube's sixth face, or the cube runs out of charges. You can change the barrier's effect by pressing a different face of the cube and expending the requisite number of charges, resetting the duration. If your movement causes the barrier to come into contact with a solid object that can't pass through the cube, you can't move any closer to that object as long as the barrier remains.",,
Ring of Feather Falling,Equipment (ring),Rare,5000 gp,Attunement,"Silver cuff ring shaped like a feather wraped around your finger. When you fall while wearing this ring, you descend 60 feet per round and take no damage from falling.",,
Tentacle Rod,Wondrous item,Rare,5000 gp,Attunement,"Made by the drow, this rod is a magic weapon that ends in three rubbery tentacles. While holding the rod, you can use an action to direct each tentacle to attack a creature you can see within 15 feet of you. Each tentacle makes a melee attack roll with a +9 bonus. On a hit, the tentacle deals 1d6 bludgeoning damage. If you hit a target with all three tentacles, it must make a DC 15 Constitution saving throw. On a failure, the creature's speed is halved, it has disadvantage on Dexterity saving throws, and it can't use reactions for 1 minute. Moreover, on each of its turns, it can take either an action or a bonus action, but not both. At the end of each of its turns, it can repeat the saving throw, ending the effect on itself on a success.",,
Ring of Evasion,Equipment (ring),Rare,5500 gp,Attunement,"Silver ring with a hummingbird. This ring has 3 charges, and it regains 1d3 expended charges daily at dawn. When you fail a Dexterity saving throw while wearing it, you can use your reaction to expend 1 of its charges to succeed on that saving throw instead. ",,
Dimensional Shackles,Wondrous item,Rare,5000 gp,,"Shackles of an unknown golden metal. On the bracelets is carved a simplified representation of the map of dimensions. You can use an action to place these shackles on an incapacitated creature. The shackles adjust to fit a creature of Small to Large size. In addition to serving as mundane manacles, the shackles prevent a creature bound by them from using any method of extradimensional movement, including teleportation or travel to a different plane of existence. They don't prevent the creature from passing through an interdimensional portal. You and any creature you designate when you use the shackles can use an action to remove them. Once every 30 days, the bound creature can make a DC 30 Strength (Athletics) check. On a success, the creature breaks free and destroys the shackles.",,
Cloak of displacement,Equipment (cloak),Rare,5000 gp,Attunement,"Covering cloak made in a thick dark grey fabric that is still light and has a slight shimmer to it. While you wear this cloak, it projects an illusion that makes you appear to be standing in a place near your actual location, causing any creature to have disadvantage on attack rolls against you. If you take damage, the property ceases to function until the start of your next turn. This property is suppressed while you are incapacitated, restrained, or otherwise unable to move.",,
Bead of force,Wondrous item,Rare,600 gp,,"This small black sphere measures 3/4 of an inch in diameter and weighs an ounce. Typically, 1d4 + 4 beads of force are found together. You can use an action to throw the bead up to 60 feet. The bead explodes on impact and is destroyed. Each creature within a 10-foot radius of where the bead landed must succeed on a DC 15 Dexterity saving throw or take 5d4 force damage. A sphere of transparent force then encloses the area for 1 minute. Any creature that failed the save and is completely within the area is trapped inside this sphere. Creatures that succeeded on the save, or are partially within the area, are pushed away from the center of the sphere until they are no longer inside it. Only breathable air can pass through the sphere's wall. No attack or other effect can. An enclosed creature can use its action to push against the sphere's wall, moving the sphere up to half the creature's walking speed. The sphere can be picked up, and its magic causes it to weigh only 1 pound, regardless of the weight of creatures inside.",,
Flame tongue,Weapon (glaive),Rare,6000 gp,Attunement,"You can use a bonus action to speak this magic weapon's command word, causing flames to erupt from the blade. These flames shed bright light in a 40-foot radius and dim light for an additional 40 feet. While the weapon is ablaze, it deals an extra 2d6 fire damage to any target it hits. The flames last until you use a bonus action to speak the command word again or until you drop or sheathe the sword.",D20,D20
Ring of Cold Resistance,Equipment (ring),Rare,5500 gp,Attunement,Gold ring set with a tourmaline. You have resistance to cold damage while wearing this ring.,Jeweler,
Ring of Resistance,Equipment (ring),Rare,5000 gp,Attunement,Gold ring set with a round gem. You have resistance to one damage type while wearing this ring. The gem in the ring indicates the type. https://www.aidedd.org/dnd/om.php?vo=ring-of-resistance ,Jeweler,
Ring of Free Action,Equipment (ring),Rare,7000 gp,Attunement,"Thick but simple silver cuff ring mounted with a clear blue topaz. While you wear this ring, difficult terrain doesn't cost you extra movement. In addition, magic can neither reduce your speed nor cause you to be paralyzed or restrained.",,
Portable Hole,Wondrous Item,Rare,5000 gp,,"This fine black cloth, soft as silk, is folded up to the dimensions of a handkerchief. It unfolds into a circular sheet 6 feet in diameter. You can use an action to unfold a portable hole and place it on or against a solid surface, whereupon the portable hole creates an extradimensional hole 10 feet deep. The cylindrical space within the hole exists on a different plane, so it can't be used to create open passages. Any creature inside an open portable hole can exit the hole by climbing out of it. You can use an action to close a portable hole by taking hold of the edges of the cloth and folding it up. Folding the cloth closes the hole, and any creatures or objects within remain in the extradimensional space. No matter what's in it, the hole weighs next to nothing. More rules: https://www.aidedd.org/dnd/om.php?vo=portable-hole ",,
Helm of Telepathy,Equipment (head piece),Rare,6000 gp,Attunement,"Thick, terrifying-looking brass helm. The networking of brass and leather on the head appears as monstrous grey matter and the metallic reinforcements make the neck look thick and the eyes look insectoid. Purple leanses hide the eyes, making  While wearing this helm, you can use an action to cast the detect thoughts spell (save DC 15) from it. As long as you maintain concentration on the spell, you can use a bonus action to send a telepathic message to a creature you are focused on. It can reply—using a bonus action to do so—while your focus on it continues. While focusing on a creature with detect thoughts, you can use an action to cast the suggestion spell (save DC 15) from the helm on that creature. Once used, the suggestion property can't be used again until the next dawn.",,
Censer of Controlling Air Elementals,Wondrous item,Rare,6000 gp,,"This 6-inche wide, 1-foot tall vessel ressembles a chalice. It is made of red porcelaine painted with yellow patterns of clouds and arcane runes. While incense is burning in this censer, you can use an action to speak the censer's command word and summon an air elemental, as if you had cast the conjure elemental spell. The censer can't be used this way again until the next dawn.",,
Fang of Venom,Weapon (rapier),Rare,7000 gp,,"Sharp and swift rapier. Its hilt is carved to look like a serpent head, with detailed scaled and tiny emeralds as eyes. You gain a +1 bonus to attack and damage rolls made with this magic weapon. You can use an action to cause thick, black poison to coat the blade. The poison remains for 1 minute or until an attack using this weapon hits a creature. That creature must succeed on a DC 15 Constitution saving throw or take 2d10 poison damage and become poisoned for 1 minute. The dagger can't be used this way again until the next dawn.",,
Ioun Stone of Protection,Equipment (headgear),Rare,7000 gp,Attunement,"Uppon attunement, this dusty rose prism fixes itself magically in the center of your forhead.You gain a +1 bonus to AC.",,
Elven Chain,Armor (chain shirt),Rare,7500 gp,,"You gain a +1 bonus to AC while you wear this armor. (So, AC is 14 + Dex bonus max 2) You are considered proficient with this armor even if you lack proficiency with medium armor.",Mummy,
Dragon Slayer Arrow,Weapon (ammunition),Rare,750 gp,,"Arrow made of a dark-colored metal and feathers on a straight and clear wood. You gain a +1 bonus to attack and damage rolls made with this magic weapon. When you hit a dragon with this weapon, the dragon takes an extra 3d6 piercing damage. For the purpose of this weapon, ""dragon"" refers to any creature with the dragon type, including dragon turtles and wyverns.",,
Monster Hunter Glaive,Weapon (glaive),Rare,7500 gp,,"Glaive with silver inserts in the iron blaide and along the shaft. You gain a +1 bonus to attacks and damage rolls made with this magic weapon. When you hit a monstruosity with this weapon, the monstruosity takes an extra 3d6 damage of the weapon's type. ",,
Dragon Slayer,Weapon (sword),Rare,7500 gp,,"Sword made of a dark-colored metal with the hilt incised with small scales of different colours. You gain a +1 bonus to attack and damage rolls made with this magic weapon. When you hit a dragon with this weapon, the dragon takes an extra 3d6 damage of the weapon's type. For the purpose of this weapon, ""dragon"" refers to any creature with the dragon type, including dragon turtles and wyverns.",,
Elixir of Health,Potion,Rare,800 gp,,"When you drink this potion, it cures any disease afflicting you, and it removes the blinded, deafened, paralyzed, and poisoned conditions. The clear red liquid has tiny bubbles of light in it.",D20,
Sword of Wounding,Weapon (sword),Rare,6000 gp,Attunement,"Hit points lost to this weapon's damage can be regained only through a short or long rest, rather than by regeneration, magic, or any other means. Once per turn, when you hit a creature with an attack using this magic weapon, you can wound the target. At the start of each of the wounded creature's turns, it takes 1d4 necrotic damage for each time you've wounded it, and it can then make a DC 15 Constitution saving throw, ending the effect of all such wounds on itself on a success. Alternatively, the wounded creature, or a creature within 5 feet of it, can use an action to make a DC 15 Wisdom (Medicine) check, ending the effect of such wounds on it on a success.",,
Staff of the Woodlands,Weapon (staff),Rare,6000 gp,Attunement by a druid,"Staff that looks somehow like a thin, elongated, twisted bonsai tree with small branches and leaves at the top. This staff can be wielded as a magic quarterstaff that grants a +2 bonus to attack and damage rolls made with it. While holding it, you have a +2 bonus to spell attack rolls. The staff has 10 charges for the following properties. It regains 1d6 + 4 expended charges daily at dawn. If you expend the last charge, roll a d20. On a 1, the staff loses its properties and becomes a nonmagical quarterstaff. Spells. You can use an action to expend 1 or more of the staff's charges to cast one of the following spells from it, using your spell save DC: animal friendship (1 charge), awaken (5 charges), barkskin (2 charges), locate animals or plants (2 charges), speak with animals (1 charge), speak with plants (3 charges), or wall of thorns (6 charges). You can also use an action to cast the pass without trace spell from the staff without using any charges. Tree Form. You can use an action to plant one end of the staff in fertile earth and expend 1 charge to transform the staff into a healthy tree. The tree is 60 feet tall and has a 5-foot diameter trunk, and its branches at the top spread out in a 20-foot radius. The tree appears ordinary but radiates a faint aura of transmutation magic if targeted by detect magic. While touching the tree and using another action to speak its command word, you return the staff to its normal form. Any creature in the tree falls when it reverts to a staff.",,
Staff of Charming,Weapon (staff),Rare,6000 gp,"Attunement by a bard, cleric, druid, sorcerer, warlock, or wizard","Golden staff of elegant design. While holding this staff, you can use an action to expend 1 of its 10 charges to cast charm person, command, or comprehend languages from it using your spell save DC. The staff can also be used as a magic quarterstaff. If you are holding the staff and fail a saving throw against an enchantment spell that targets only you, you can turn your failed save into a successful one. You can't use this property of the staff again until the next dawn. If you succeed on a save against an enchantment spell that targets only you, with or without the staff's intervention, you can use your reaction to expend 1 charge from the staff and turn the spell back on its caster as if you had cast the spell. The staff regains 1d8 + 2 expended charges daily at dawn. If you expend the last charge, roll a d20. On a 1, the staff becomes a nonmagical quarterstaff.",,Kathel?
Scale of Destruction's Light,Armor (scale mail),Rare,8000 gp,Attunement,"This armor was made out of plates taken from Sunblight's chardalyn dragon. As a Medium Armor, your AC is of 14 + Dex modifier (max 2). You have disadvantage on stealth checks. While wearing this armor, you gain a +1 bonus to AC, you have advantage on saving throws against the Frightful Presence and breath weapons of dragons, and you have resistance to magical damage. Additionally, you can focus your senses as an action to magically discern the distance and direction to the closest chardalyn within 30 miles of you. This special action can't be used again until the next dawn. CURSE: prolonged contact with chardalyn will cause a character to develop a type of madness. Separation from the armor and remove curse or spell with similar effect are the only way to get rid of the madness.",,
Earring of Comprehending Languages,Equipment (earring),Rare,6000 gp,Attunement,"Golden earring with a dangling saphir. While wearing this earring, you can use an action to cast the comprehend languages spell from it at will.",,Traveler
Mantle of Spell Resistance,Equipment (cape),Rare,7000 gp,Attunement,"Cloak made of a thick, expensive-looking dark blue fabric. You have advantage on saving throws against spells while you wear this cloak.",,Traveler
Rod of Ruleship,Wondrous item,Rare,7000 gp,Attunement,"You can use an action to present the rod and command obedience from each creature of your choice that you can see within 120 feet of you. Each target must succeed on a DC 15 Wisdom saving throw or be charmed by you for 8 hours. While charmed in this way, the creature regards you as its trusted leader. If harmed by you or your companions, or commanded to do something contrary to its nature, a target ceases to be charmed in this way. The rod can't be used again until the next dawn.",,Musée des Shane
Staff of Swarming Insects,Weapon (staff),Rare,5000 gp,"Attunement by a bard, cleric, druid, sorcerer, warlock, or wizard","Staff made of wood and brass melted around multiple stones included in it. This staff has 10 charges and regains 1d6 + 4 expended charges daily at dawn. If you expend the last charge, roll a d20. On a 1, a swarm of insects consumes and destroys the staff, then disperses. Spells. While holding the staff, you can use an action to expend some of its charges to cast one of the following spells from it, using your spell save DC: giant insect (4 charges) or insect plague (5 charges). Insect Cloud. While holding the staff, you can use an action and expend 1 charge to cause a swarm of harmless flying insects to spread out in a 30-foot radius from you. The insects remain for 10 minutes, making the area heavily obscured for creatures other than you. The swarm moves with you, remaining centered on you. A wind of at least 10 miles per hour disperses the swarm and ends the effect.",,
Staff of Healing,Weapon (staff),Rare,5000 gp,"Attunement by a bard, cleric or druid","This staff was carved from a twisted tree branch and holds a stone at its extremity. When charged, the stoned is a dark pink that progressively changes to a pure white as the charges are spent. This staff has 10 charges. While holding it, you can use an action to expend 1 or more of its charges to cast one of the following spells from it, using your spell save DC and spellcasting ability modifier: cure wounds (1 charge per spell level, up to 4th), lesser restoration (2 charges), or mass cure wounds (5 charges). The staff regains 1d6 + 4 expended charges daily at dawn. If you expend the last charge, roll a d20. On a 1, the staff vanishes in a flash of light, lost forever.",,
Shield +3,Shield,Very rare,50000 gp,,"While holding this shield, you have a bonus to AC determined by the shield's rarity. This bonus is in addition to the shield's normal bonus to AC.",,
Rod of Absorbtion,Wondrous item,Very rare,50000 gp,Attunement,"While holding this rod, you can use your reaction to absorb a spell that is targeting only you and not with an area of effect. The absorbed spell's effect is canceled, and the spell's energy—not the spell itself—is stored in the rod. The energy has the same level as the spell when it was cast. The rod can absorb and store up to 50 levels of energy over the course of its existence. Once the rod absorbs 50 levels of energy, it can't absorb more. If you are targeted by a spell that the rod can't store, the rod has no effect on that spell. When you become attuned to the rod, you know how many levels of energy the rod has absorbed over the course of its existence, and how many levels of spell energy it currently has stored. If you are a spellcaster holding the rod, you can convert energy stored in it into spell slots to cast spells you have prepared or know. You can create spell slots only of a level equal to or lower than your own spell slots, up to a maximum of 5th level. You use the stored levels in place of your slots, but otherwise cast the spell as normal. For example, you can use 3 levels stored in the rod as a 3rd-level spell slot. A newly found rod has 1d10 levels of spell energy stored in it already. A rod that can no longer absorb spell energy and has no energy remaining becomes nonmagical.",,
Rod of Security,Wondrous item,Very rare,70000 gp,,"While holding this rod, you can use an action to activate it. The rod then instantly transports you and up to 199 other willing creatures you can see to a paradise that exists in an extraplanar space. You choose the form that the paradise takes. It could be a tranquil garden, lovely glade, cheery tavern, immense palace, tropical island, fantastic carnival, or whatever else you can imagine. Regardless of its nature, the paradise contains enough water and food to sustain its visitors. Everything else that can be interacted with inside the extraplanar space can exist only there. For example, a flower picked from a garden in the paradise disappears if it is taken outside the extraplanar space. For each hour spent in the paradise, a visitor regains hit points as if it had spent 1 Hit Die. Also, creatures don't age while in the paradise, although time passes normally. Visitors can remain in the paradise for up to 200 days divided by the number of creatures present (round down). When the time runs out or you use an action to end it, all visitors reappear in the location they occupied when you activated the rod, or an unoccupied space nearest that location. The rod can't be used again until ten days have passed.",,
Robe of Scintillating Colors,Equipment (robe),Very rare,50000 gp,Attunement,"Normal-looking thick grey robe. This robe has 3 charges, and it regains 1d3 expended charges daily at dawn. While you wear it, you can use an action and expend 1 charge to cause the garment to display a shifting pattern of dazzling hues until the end of your next turn. During this time, the robe sheds bright light in a 30-foot radius and dim light for an additional 30 feet. Creatures that can see you have disadvantage on attack rolls against you. In addition, any creature in the bright light that can see you when the robe's power is activated must succeed on a DC 15 Wisdom saving throw or become stunned until the effect ends.",,
Ring of Telekinesis,Equipment (ring),Very rare,50000 gp,Attunement,"Silver ring set with a massive, unpolished topaz held with several hooks. While wearing this ring, you can cast the telekinesis spell at will, but you can target only objects that aren't being worn or carried.",,
Potion of Flying,Potion,Very rare,27000 gp,,"When you drink this potion, you gain a flying speed equal to your walking speed for 1 hour and can hover. If you're in the air when the potion wears off, you fall unless you have some other means of staying aloft. This potion's clear liquid floats at the top of its container and has cloudy white impurities drifting in it.",,
Potion of Cloud Giant Strength,Potion,Very rare,26000 gp,,"When you drink this potion, your Strength score changes to 27 for 1 hour. The potion has no effect on you if your Strength is equal to or greater than that score. This potion's transparent liquid has floating in it a sliver of fingernail from a giant of the appropriate type.",,
Potion of Speed,Potion,Very rare,27000 gp,,"When you drink this potion, you gain the effect of the haste spell for 1 minute (no concentration required). The potion's yellow fluid is streaked with black and swirls on its own.",,
Potion of Vitality,Potion ,Very rare,27500 gp,,"When you drink this potion, it removes any exhaustion you are suffering and cures any disease or poison affecting you. For the next 24 hours, you regain the maximum number of hit points for any Hit Die you spend. The potion's crimson liquid regularly pulses with dull light, calling to mind a heartbeat.",,
Oil of Sharpness,Potion,Very rare,27700 gp ,,"This clear, gelatinous oil sparkles with tiny, ultrathin silver shards. The oil can coat one slashing or piercing weapon or up to 5 pieces of slashing or piercing ammunition. Applying the oil takes 1 minute. For 1 hour, the coated item is magical and has a +3 bonus to attack and damage rolls.",D20,
Potion of Longevity,Potion,Very rare,29000 gp,,"When you drink this potion, your physical age is reduced by 1d6 + 6 years, to a minimum of 13 years. Each time you subsequently drink a potion of longevity, there is 10 percent cumulative chance that you instead age by 1d6 + 6 years. Suspended in this amber liquid are a scorpion's tail, an adder's fang, a dead spider, and a tiny heart that, against all reason, is still beating. These ingredients vanish when the potion is opened.",D20,
Manual of Golems,Wondrous item (book),Very rare,40000 gp,,"This tome contains information and incantations necessary to make a particular type of golem. The DM chooses the type or determines it randomly. To decipher and use the manual, you must be a spellcaster with at least two 5th-level spell slots. A creature that can't use a manual of golems and attempts to read it takes 6d6 psychic damage. https://www.aidedd.org/dnd/om.php?vo=manual-of-golems ",,
Tome of Clear Thoughts,Wondrous item (book),Very rare,40000 gp,,"This book contains memory and logic exercises, and its words are charged with magic. If you spend 48 hours over a period of 6 days or fewer studying the book's contents and practicing its guidelines, your Intelligence score increases by 2, as does your maximum for that score. The manual then loses its magic, but regains it in a century.",,
Tome of Leadership and Influence,Wondrous item (book),Very rare,40000 gp,,"This book contains guidelines for influencing and charming others, and its words are charged with magic. If you spend 48 hours over a period of 6 days or fewer studying the book's contents and practicing its guidelines, your Charisma score increases by 2, as does your maximum for that score. The manual then loses its magic, but regains it in a century.",,
Tome of Understanding,Wondrous item (book),Very rare,40000 gp,,"This book contains intuition and insight exercises, and its words are charged with magic. If you spend 48 hours over a period of 6 days or fewer studying the book's contents and practicing its guidelines, your Wisdom score increases by 2, as does your maximum for that score. The manual then loses its magic, but regains it in a century.",,
Staff of Striking,Weapon (staff),Very rare,50000 gp,Attunement,"Staff made of thick bamboo. Arcane runes are carved on both ends. This staff can be wielded as a magic quarterstaff that grants a +3 bonus to attack and damage rolls made with it. The staff has 10 charges. When you hit with a melee attack using it, you can expend up to 3 of its charges. For each charge you expend, the target takes an extra 1d6 force damage. The staff regains 1d6 + 4 expended charges daily at dawn. If you expend the last charge, roll a d20. On a 1, the staff becomes a nonmagical quarterstaff.",,
Staff of Fire,Weapon (staff),Very rare,50000 gp,"Attunement by a druid, sorcerer, warlock or wizard","Bronze staff ending with a torch. You have resistance to fire damage while you hold this staff. The staff has 10 charges. While holding it, you can use an action to expend 1 or more of its charges to cast one of the following spells from it, using your spell save DC: burning hands (1 charge), fireball (3 charges), or wall of fire (4 charges). The staff regains 1d6 + 4 expended charges daily at dawn. If you expend the last charge, roll a d20. On a 1, the staff blackens, crumbles into cinders, and is destroyed.",,
Staff of Frost,Weapon (staff),Very rare,50000 gp,"Attunement by a druid, sorcerer, warlock or wizard","This staff seems to be carved out of unmeltable ice. Part of it is wraped in a piece of leather to hold it more confortably. You have resistance to cold damage while you hold this staff. The staff has 10 charges. While holding it, you can use an action to expend 1 or more of its charges to cast one of the following spells from it, using your spell save DC: cone of cold (5 charges), fog cloud (1 charge), ice storm (4 charges), or wall of ice (4 charges). The staff regains 1d6 + 4 expended charges daily at dawn. If you expend the last charge, roll a d20. On a 1, the staff turns to water and is destroyed.",,
Nine Lives Stealer,Weapon (short sword),Very rare,45000 gp,,"Shortsword of blackish metal. The hilt is sculpted as a skull in which a ruby is embedded. You gain a +2 bonus to attack and damage rolls made with this magic weapon. The sword has 1d8 + 1 charges. If you score a critical hit against a creature that has fewer than 100 hit points, it must succeed on a DC 15 Constitution saving throw or be slain instantly as the sword tears its life force from its body (a construct or an undead is immune). The sword loses 1 charge if the creature is slain. When the sword has no charges remaining, it loses this property.",,
Frostbite,Drug (pipe weed),Very rare,1000 gp / 100 g,,"A mix of rare blue lichen which grows on the trees in northern forests and white lingonberries, dried and smoked in a pipe. Produces a numbing as well as hallucinogenic effect. Illegal. Effects – resistance to bludgeoning, piercing, slashing, force, and thunder damage, -5 initiative, weakness to psychic damage; lasts 6 hours. Addiction – upon each dose roll for an addiction saving throw, Wisdom vs DC18-number of doses previously not resisted (max 10) to resist. Upon each long rest, roll for an addiction saving throw, identical to above; success removes 1 DC from the next addiction save, failure results in -2 initiative for day. DC 8-10 – minor hallucinations mix with reality, but the subject remains aware. -2 to initiative persists 2 more hours beyond end of effects. DC 11-15 – hallucinogenic trip. subject is considered blind to reality. -4 initiative and disadvantage on reflex saves which both last 2 more hours beyond end of effects. DC 16-18 - subject blacks out and is incapacitated. but -6 initiative, disadvantage on reflex saves, and slowed, all three of which both last 2 more hours beyond end of effects.",,
Arrows +3,Amunition,Very rare,5000 g,,"You have a bonus to attack and damage rolls made with this piece of magic ammunition. The bonus is determined by the rarity of the ammunition. Once it hits a target, the ammunition is no longer magical.",,
Crossbow bolts +3,Amunition,Very rare,5000 gp,,"You have a bonus to attack and damage rolls made with this piece of magic ammunition. The bonus is determined by the rarity of the ammunition. Once it hits a target, the ammunition is no longer magical.",,
Spellguard Shield,Shield,Very rare,50000 gp,Attunement,"While holding this shield, you have advantage on saving throws against spells and other magical effects, and spell attacks have disadvantage against you.",,
Scimitar of Speed,Weapon (scimitar),Very rare,50000 gp,Attunement,"You gain a +2 bonus to attack and damage rolls made with this magic weapon. In addition, you can make one attack with it as a bonus action on each of your turns.",,
Frost Brand,Weapon (sword),Very rare,50000 gp,Attunement,"When you hit with an attack using this magic sword, the target takes an extra 1d6 cold damage. In addition, while you hold the sword, you have resistance to fire damage. In freezing temperatures, the blade sheds bright light in a 10-foot radius and dim light for an additional 10 feet.
When you draw this weapon, you can extinguish all nonmagical flames within 30 feet of you. This property can be used no more than once per hour.",,
Demon Armor,Armor (plate),Very rare,50000 gp,Attunement,"Heavy armor. While wearing this armor, you gain a +1 bonus to AC (so total of 19), and you can understand and speak Abyssal. In addition, the armor's clawed gauntlets turn unarmed strikes with your hands into magic weapons that deal slashing damage, with a +1 bonus to attack rolls and damage rolls and a damage die of 1d8. As a plate armor, it gives disadvantage on stealth checks. - Curse. Once you don this cursed armor, you can't doff it unless you are targeted by the remove curse spell or similar magic. While wearing the armor, you have disadvantage on attack rolls against demons and on saving throws against their spells and special abilities.",,
Dwarven Thrower,Weapon (hammer),Very rare,50000 gp,Attunement by a dwarf,"Heavy steel hammer of simple yet elegant design. On one side, the stamp of the blacksmith who made it. One the other, an emerald big as a eye. You gain a +3 bonus to attack and damage rolls made with this magic weapon. It has the thrown property with a normal range of 20 feet and a long range of 60 feet. When you hit with a ranged attack using this weapon, it deals an extra 1d8 damage or, if the target is a giant, 2d8 damage. Immediately after the attack, the weapon flies back to your hand.",,
Ioun Stone of Absorption,Equipment (headgear),Very rare,18000 gp,Attunement,"This pale lavender ellipsoid magical stone is mounted on a simple but elegant silver circlet. While wearing it, you can use your reaction to cancel a spell cast by a creature you can see and targeting only you. Once the stone has canceled 20 levels of spells, it burns out and turns dull gray, losing its magic. If you are targeted by a spell whose level is higher than the number of spell levels the stone has left, the stone can't cancel it. A stone has AC 24, 10 hit points, and resistance to all damage.",,
Ioun Stone of Insight,Equipment (headgear),Very rare,18000 gp,Attunement,"Your Wisdom score increases by 2, to a maximum of 20, while this incandescent blue sphere orbits your head. When you use an action to toss one of these stones into the air, the stone orbits your head at a distance of 1d3 feet and confers a benefit to you. Thereafter, another creature must use an action to grasp or net the stone to separate it from you, either by making a successful attack roll against AC 24 or a successful DC 24 Dexterity (Acrobatics) check. You can use an action to seize and stow the stone, ending its effect. A stone has AC 24, 10 hit points, and resistance to all damage. It is considered to be an object that is being worn while it orbits your head.",,
Bag of devouring,Wondrous item,Very rare,20000 gp,,"This bag superficially resembles a bag of holding but is a feeding orifice for a gigantic extradimensional creature. Turning the bag inside out closes the orifice. The extradimensional creature attached to the bag can sense whatever is placed inside the bag. Animal or vegetable matter placed wholly in the bag is devoured and lost forever. When part of a living creature is placed in the bag, as happens when someone reaches inside it, there is a 50 percent chance that the creature is pulled inside the bag. A creature inside the bag can use its action to try to escape with a successful DC 15 Strength check. Another creature can use its action to reach into the bag to pull a creature out, doing so with a successful DC 20 Strength check (provided it isn't pulled inside the bag first). Any creature that starts its turn inside the bag is devoured, its body destroyed. Inanimate objects can be stored in the bag, which can hold a cubic foot of such material. However, once each day, the bag swallows any objects inside it and spits them out into another plane of existence. The DM determines the time and plane. If the bag is pierced or torn, it is destroyed, and anything contained within it is transported to a random location on the Astral Plane.",D20,
Bronze Horn of Valhalla,Wondrous item,Very rare,50000 gp,,"You can use an action to blow this horn. In response, 4d4 + 4 warrior spirits from the Valhalla appear within 60 feet of you. They use the statistics of a berserker. They return to Valhalla after 1 hour or when they drop to 0 hit points. Once you use the horn, it can't be used again until 7 days have passed. If you blow the horn without being proficient with all medium armor, the summoned berserkers attack you. If you meet the requirement, they are friendly to you and your companions and follow your commands. ",,
